date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:22	165548/165548	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2025%20Mar%202021%2017:41:39%20GMT	https://www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e.ttf?v=4.7.0	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e3e6e.ttf	(from https://www.hesappazarim.com/assets/css/font-awesome.min.css)
12:56:22	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2025%20Mar%202021%2017:41:39%20GMT	https://www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e.svg?v=4.7.0	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e3e6e.svg	(from https://www.hesappazarim.com/assets/css/font-awesome.min.css)
12:56:22	4976/4976	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:37%20GMT	https://www.hesappazarim.com/assets/css/owl.video.play.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/css/owl.video.play.png	(from https://www.hesappazarim.com/assets/css/owl.carousel.min.css)
12:56:22	16666/16666	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:45%20GMT	https://www.hesappazarim.com/assets/img/pattern-1.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/pattern-1.png	(from https://www.hesappazarim.com/assets/css/style.css)
12:56:23	7732/7732	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:46%20GMT	https://www.hesappazarim.com/assets/img/pattern-2.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/pattern-2.png	(from https://www.hesappazarim.com/assets/css/style.css)
12:56:23	618/618	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2009:56:23%20GMT	https://www.hesappazarim.com/assets/img/target23.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/target23.png	(from https://www.hesappazarim.com/assets/css/style.css)
12:56:23	618/618	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2009:56:23%20GMT	https://www.hesappazarim.com/assets/img/team-bg.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/team-bg.png	(from https://www.hesappazarim.com/assets/css/style.css)
12:56:24	618/618	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2009:56:24%20GMT	https://www.hesappazarim.com/assets/img/promo-bg.jpg	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/promo-bg.jpg	(from https://www.hesappazarim.com/assets/css/style.css)
12:56:24	395207/395207	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Mar%202021%2017:41:43%20GMT	https://www.hesappazarim.com/assets/img/breadcrumb_bg.jpg	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/breadcrumb_bg.jpg	(from https://www.hesappazarim.com/assets/css/style.css)
12:56:24	836135/836135	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/img/slider-1.jpg	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/slider-1.jpg	(from https://www.hesappazarim.com/assets/css/style.css)
